quang.nguyen@raspberrypi:~ $ ping -6 -t 1 -I wpan0 fd31:9326:2ca1:b79e:c357:29:54a3:d428 -s 200
PING fd31:9326:2ca1:b79e:c357:29:54a3:d428(fd31:9326:2ca1:b79e:c357:29:54a3:d428) from fdaa:fb3:4d49:1:8a41:7df0:abb3:3811 wpan0: 200 data bytes
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=82 ttl=64 time=52.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=83 ttl=64 time=66.8 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=84 ttl=64 time=58.5 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=85 ttl=64 time=98.3 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=86 ttl=64 time=51.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=87 ttl=64 time=112 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=88 ttl=64 time=73.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=89 ttl=64 time=38.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=90 ttl=64 time=53.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=91 ttl=64 time=175 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=92 ttl=64 time=48.6 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=93 ttl=64 time=57.6 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=94 ttl=64 time=137 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=95 ttl=64 time=131 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=96 ttl=64 time=98.0 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=97 ttl=64 time=97.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=98 ttl=64 time=85.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=99 ttl=64 time=58.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=100 ttl=64 time=60.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=101 ttl=64 time=44.5 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=102 ttl=64 time=72.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=103 ttl=64 time=63.0 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=104 ttl=64 time=51.0 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=105 ttl=64 time=72.8 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=106 ttl=64 time=43.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=107 ttl=64 time=53.6 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=108 ttl=64 time=96.6 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=109 ttl=64 time=62.3 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=110 ttl=64 time=65.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=111 ttl=64 time=53.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=112 ttl=64 time=56.1 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=113 ttl=64 time=39.0 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=114 ttl=64 time=75.3 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=115 ttl=64 time=44.3 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=116 ttl=64 time=58.5 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=117 ttl=64 time=98.3 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=118 ttl=64 time=92.5 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=119 ttl=64 time=217 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=120 ttl=64 time=106 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=121 ttl=64 time=64.1 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=122 ttl=64 time=59.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=123 ttl=64 time=46.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=124 ttl=64 time=90.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=125 ttl=64 time=69.3 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=126 ttl=64 time=62.3 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=127 ttl=64 time=105 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=128 ttl=64 time=103 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=129 ttl=64 time=152 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=130 ttl=64 time=69.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=131 ttl=64 time=50.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=132 ttl=64 time=50.1 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=133 ttl=64 time=80.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=134 ttl=64 time=51.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=135 ttl=64 time=99.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=136 ttl=64 time=47.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=137 ttl=64 time=78.6 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=138 ttl=64 time=69.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=139 ttl=64 time=97.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=140 ttl=64 time=53.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=141 ttl=64 time=39.5 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=142 ttl=64 time=161 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=143 ttl=64 time=75.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=144 ttl=64 time=112 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=145 ttl=64 time=62.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=146 ttl=64 time=42.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=147 ttl=64 time=196 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=148 ttl=64 time=72.5 ms
